"key","en","es",

// generic keys
"generic_yes","Yes","Si",
"generic_no","No","No",
"generic_accept","Ok!","¡Vale!",
"generic_back","Back","Volver",
"generic_level","Lv.","Nv.",
"generic_level_long","Level","Nivel",
"generic_rewards","Rewards","Premios",
"generic_news","News","Notícias",
"generic_missions","Missions","Misiones",
"generic_settings","Settings","Ajustes",
"generic_all","All","Todos",
"generic_sortBy","Sort by:","Ordenar por:",

// login scene keys 
"login_start","Touch the screen to start!","¡Toca la pantalla para empezar!",
"login_transfer","Transfer","Transferir",
"login_menu","Menu","Menú",

// main menu keys
"main_characters","Characters","Personajes",
"main_souls","Souls","Almas",
"main_home","Home","Inicio",
"main_gacha","Gacha","Gacha",
"main_shop","Shop","Tienda",
"main_social","Social","Social",

// level up keys
"levelup_leveltext","Level","Nivel",
"levelup_title","Level up!","¡Subes de nivel!",
"levelup_ap","Max AP","AP máx",

// home panel keys
"home_events","Events","Eventos",
"home_play","Play","Jugar",

// character keys
"char_locked","Locked Characters","Personajes bloqueados",
"char_unlocked","Unlocked Characters","Personajes desbloqueados",
"char_hp","HP","Vida",
"char_atk","Atk","Atq",
"char_mag","Mag","Mag",
"char_pdef","P. Def","Def. Fís",
"char_mdef","M. Def","Def. Mag",
"char_description","Description","Descripción",

// class keys
"class_fighter","Fighters","Luchadores",
"class_mage","Mages","Hechiceros",
"class_healer","Healers","Sanadores",
"class_tank","Tanks","Tanques",

"?","WIP...","WIP...",
